Start,End,Open,High,Low,Close,Volume, Market Cap
2018-07-21,2018-07-22,449.1283421,466.6886389,445.7479909,461.645284,1970621137,46333480836
2018-07-20,2018-07-21,467.2224165,467.6580068,443.6920491,448.9553598,2146013180,46296259524
2018-07-19,2018-07-20,477.7874311,480.7989963,465.9423334,467.1295055,2302853467,47687080550
2018-07-18,2018-07-19,500.6809863,507.5202822,473.8757091,477.9577429,2569699703,49804422593
2018-07-17,2018-07-18,476.0968366,503.3976125,467.061802,500.876576,2318768238,48241467250
2018-07-16,2018-07-17,449.574851,476.2308461,445.7423731,476.2308461,2181496492,46566700036
2018-07-15,2018-07-16,433.706854,452.8335167,432.2718652,449.1827077,1442726108,44574454334
2018-07-14,2018-07-15,432.4516675,437.9287178,430.644123,433.8710186,1546387639,43653752824
2018-07-13,2018-07-14,428.6059926,440.9114803,428.6059926,431.6447605,1763236534,43910576539
2018-07-12,2018-07-13,445.5031649,445.5031649,422.695353,427.3473043,1448870359,43667935872
2018-07-11,2018-07-12,434.524015,445.5392468,428.4672142,445.1505524,1752709167,44107692712
2018-07-10,2018-07-11,473.5215327,474.9835672,434.1252746,434.4910627,1772252663,45261407980
2018-07-09,2018-07-10,487.2579878,488.6363108,473.6008118,474.0570131,2002454398,48368366393
2018-07-08,2018-07-09,480.568902,492.5305326,479.7984767,487.3114859,2009750962,48903857394
2018-07-07,2018-07-08,468.7373512,480.3850166,464.2955699,480.3850166,1954951375,47064997316
2018-07-06,2018-07-07,467.6794372,472.0288408,455.27094,468.8738006,2112096436,46880416546
2018-07-05,2018-07-06,469.5904388,476.1190769,463.1536489,467.7621319,2149879043,47241357094
2018-07-04,2018-07-05,463.6182662,476.140216,455.1559791,468.6962115,2187316634,46884947969
2018-07-03,2018-07-04,475.0485633,482.351768,462.7499059,463.6171597,2236916812,47420973348
2018-07-02,2018-07-03,452.6267768,479.7633621,446.6545571,474.9078125,1896145480,46157289019
2018-07-01,2018-07-02,452.3800552,456.7633371,447.8903492,452.4918292,1691265595,45414166374
2018-06-30,2018-07-01,430.766273,456.6933691,430.766273,452.2105791,1821364338,45114935991
2018-06-29,2018-06-30,424.3020922,434.574533,408.6930338,430.4948817,1388143970,41830776805
2018-06-28,2018-06-29,436.1861066,438.6378187,422.3757903,424.1502542,1305573622,43628585491
2018-06-27,2018-06-28,433.8187136,440.1300863,426.2234164,435.9987749,2409337677,43426450147
2018-06-26,2018-06-27,460.0105578,460.7778415,434.0054461,434.0054461,2410233258,45094329704
2018-06-25,2018-06-26,455.7566369,466.2402561,446.8063703,460.042411,2628173322,45747307043
2018-06-24,2018-06-25,474.1051823,474.5810437,425.8598431,456.2373213,1911923321,45241983876
2018-06-23,2018-06-24,465.081366,476.951194,461.5001617,473.9866203,1899823474,47238050791
2018-06-22,2018-06-23,526.0495145,526.0495145,462.2761551,464.8921366,1582644622,49382997027
2018-06-21,2018-06-22,535.503979,543.0916856,523.3955977,525.8027359,1301138704,53438680097
2018-06-20,2018-06-21,536.4588015,537.784429,518.2115803,535.503979,1508750420,52965463123
2018-06-19,2018-06-20,518.6907382,540.4263164,516.3579219,536.1481328,1353681738,52781273295
2018-06-18,2018-06-19,497.9443908,520.1135391,492.7951324,518.4353785,993590452.8,50194787041
2018-06-17,2018-06-18,498.3197891,505.5136081,497.1598408,497.911417,935766249.3,50160792223
2018-06-16,2018-06-17,493.0456448,500.7863002,487.7118687,498.4723971,1177449232,49585579639
2018-06-15,2018-06-16,519.678588,520.8411765,490.5617285,493.1052737,1806068566,50327027632
2018-06-14,2018-06-15,475.6409237,521.3263192,465.8661683,519.0772601,1832794113,49212729169
2018-06-13,2018-06-14,494.6936925,501.360556,460.1834068,474.9465621,1628092405,48255297017
2018-06-12,2018-06-13,528.8882672,537.0831977,488.8616687,494.2594465,1469437157,52259829715
